2026-01-31 10:53:39,898 | INFO | avature | 999 of jobs finds - tesco.avature.net
2026-01-31 10:54:28,704 | ERROR | avature | Erro ao consultar a pagina <https://tesco.avature.net/careers/SearchJobs/?folderRecordsPerPage=6&folderOffset=0>. Exceeded 30 redirects.
2026-01-31 10:56:52,311 | ERROR | avature | Erro ao consultar a pagina principal, HTTPSConnectionPool(host='tesco.avature.net', port=443): Max retries exceeded with url: /careers/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))
2026-01-31 10:56:52,856 | ERROR | avature | Erro ao consultar a pagina principal, HTTPSConnectionPool(host='delta.avature.net', port=443): Max retries exceeded with url: /careers/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))
2026-01-31 10:56:53,408 | ERROR | avature | Erro ao consultar a pagina principal, HTTPSConnectionPool(host='mobiletrust2.avature.net', port=443): Max retries exceeded with url: /careers/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))
2026-01-31 10:56:54,482 | ERROR | avature | Erro ao consultar a pagina principal, HTTPSConnectionPool(host='primero.avature.net', port=443): Max retries exceeded with url: /careers/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))
2026-01-31 10:56:55,563 | ERROR | avature | Erro ao consultar a pagina principal, HTTPSConnectionPool(host='auspost.avature.net', port=443): Max retries exceeded with url: /careers/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))
2026-01-31 10:56:56,608 | ERROR | avature | Erro ao consultar a pagina principal, HTTPSConnectionPool(host='djcshudson.avature.net', port=443): Max retries exceeded with url: /careers/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))
2026-01-31 10:56:57,654 | ERROR | avature | Erro ao consultar a pagina principal, HTTPSConnectionPool(host='monadelphous.avature.net', port=443): Max retries exceeded with url: /careers/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))
2026-01-31 10:57:28,264 | INFO | avature | 999 of jobs finds - tesco.avature.net
2026-01-31 10:57:28,265 | INFO | avature | Consultando o subdominio tesco.avature.net - 0
2026-01-31 10:57:28,892 | INFO | avature | Consultando o subdominio tesco.avature.net - 10
2026-01-31 10:57:29,264 | INFO | avature | Consultando o subdominio tesco.avature.net - 20
2026-01-31 10:57:29,640 | INFO | avature | Consultando o subdominio tesco.avature.net - 30
2026-01-31 10:57:30,022 | INFO | avature | Consultando o subdominio tesco.avature.net - 40
2026-01-31 10:57:30,408 | INFO | avature | Consultando o subdominio tesco.avature.net - 50
2026-01-31 10:57:30,785 | INFO | avature | Consultando o subdominio tesco.avature.net - 60
2026-01-31 10:57:31,159 | INFO | avature | Consultando o subdominio tesco.avature.net - 70
2026-01-31 10:57:31,523 | INFO | avature | Consultando o subdominio tesco.avature.net - 80
2026-01-31 10:57:31,892 | INFO | avature | Consultando o subdominio tesco.avature.net - 90
2026-01-31 10:57:32,259 | INFO | avature | Consultando o subdominio tesco.avature.net - 100
2026-01-31 10:57:32,638 | INFO | avature | Consultando o subdominio tesco.avature.net - 110
2026-01-31 10:57:33,008 | INFO | avature | Consultando o subdominio tesco.avature.net - 120
2026-01-31 10:57:33,380 | INFO | avature | Consultando o subdominio tesco.avature.net - 130
2026-01-31 10:57:33,774 | INFO | avature | Consultando o subdominio tesco.avature.net - 140
2026-01-31 10:57:34,147 | INFO | avature | Consultando o subdominio tesco.avature.net - 150
2026-01-31 10:57:34,777 | INFO | avature | Consultando o subdominio tesco.avature.net - 160
2026-01-31 10:57:35,170 | INFO | avature | Consultando o subdominio tesco.avature.net - 170
2026-01-31 10:57:35,560 | INFO | avature | Consultando o subdominio tesco.avature.net - 180
2026-01-31 10:57:36,169 | INFO | avature | Consultando o subdominio tesco.avature.net - 190
2026-01-31 10:57:36,545 | INFO | avature | Consultando o subdominio tesco.avature.net - 200
2026-01-31 10:57:36,926 | INFO | avature | Consultando o subdominio tesco.avature.net - 210
2026-01-31 10:57:37,301 | INFO | avature | Consultando o subdominio tesco.avature.net - 220
